name,faction,start_date,end_date
Антемюк Віктор Дмитрович,"Група ""Європейський вибір""",2002-06-20,2003-11-20
Антемюк Віктор Дмитрович,"Фракція ""Регіони України""",2003-11-20,2005-09-08
Антемюк Віктор Дмитрович,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-09-08,2006-05-25
Антоньєва Ганна Петрівна,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Антоньєва Ганна Петрівна,"Фракція ""Регіони України""",2002-06-20,2005-01-11
Антоньєва Ганна Петрівна,Група Промисловців і підприємців - Воля народу,2005-01-21,2005-02-03
Антоньєва Ганна Петрівна,"Група ""Воля народу""",2005-02-03,2005-03-25
Антоньєва Ганна Петрівна,"Фракція ""Партії промисловців і підприємців України""",2005-03-25,2005-12-22
Антоньєва Ганна Петрівна,"Фракція ""Партії промисловців і підприємців України""",2005-12-23,2006-05-25
Артеменко Юрій Анатолійович,"Фракція ""Наша Україна""",2002-05-15,2004-02-05
Артеменко Юрій Анатолійович,"Фракція політичної партії ""Народний Союз Наша Україна""",2004-09-22,2005-09-08
Асадчев Валерій Михайлович,"Фракція ""Наша Україна""",2002-05-15,2005-03-16
Асадчев Валерій Михайлович,Фракція Української Народної Партії,2005-03-16,2006-05-25
Астров-Шумілов Геннадій Костянтинович,"Фракція ""Єдина Україна""",2002-05-15,2002-07-05
Астров-Шумілов Геннадій Костянтинович,"Група ""Народний вибір""",2002-07-05,2004-05-21
Астров-Шумілов Геннадій Костянтинович,"Група  ""Союз""",2004-05-21,2005-05-31
Астров-Шумілов Геннадій Костянтинович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-05-31,2005-11-04
Астров-Шумілов Геннадій Костянтинович,"Група ""Довіра народу""",2005-11-16,2005-12-21
Астров-Шумілов Геннадій Костянтинович,"Група ""Відродження""",2005-12-21,2005-12-23
Астров-Шумілов Геннадій Костянтинович,"Фракція політичної партії ""ВІДРОДЖЕННЯ""",2005-12-23,2006-05-25
Атрошенко Владислав Анатолійович,"Фракція ""Наша Україна""",2002-05-15,2005-07-07
Бабурін Олексій Васильович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Баграєв Микола Георгійович,"Фракція ""Єдина Україна""",2002-05-15,2002-07-05
Баграєв Микола Георгійович,"Група ""Народний вибір""",2002-07-05,2004-05-21
Баграєв Микола Георгійович,"Група  ""Союз""",2004-05-21,2005-05-31
Баграєв Микола Георгійович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-06-03,2005-12-16
Баграєв Микола Георгійович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Байсаров Леонід Володимирович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Байсаров Леонід Володимирович,"Фракція ""Регіони України""",2002-06-20,2005-09-08
Байсаров Леонід Володимирович,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-09-08,2006-05-25
Балога Віктор Іванович,"Фракція ""Наша Україна""",2002-05-15,2005-09-07
Балога Віктор Іванович,"Фракція політичної партії ""Народний Союз Наша Україна""",2005-09-07,2005-09-08
Бандурка Олександр Маркович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Бандурка Олександр Маркович,Фракція Народно-демократичної партії (НДП),2002-06-20,2002-10-25
Бандурка Олександр Маркович,"Група ""Демократичні ініціативи""",2002-10-25,2004-05-14
Бандурка Олександр Маркович,"Група  ""Демократичні ініціативи Народовладдя""",2004-05-14,2004-09-22
Бандурка Олександр Маркович,"Група ""Демократичні ініціативи""",2004-09-23,2005-01-20
Бандурка Олександр Маркович,"Фракція партії ""Єдина Україна""",2005-01-20,2005-05-20
Бандурка Олександр Маркович,Фракція Народної Партії,2005-05-31,2006-05-25
Баранівський Олександр Петрович,Фракція Соціалістичної партії України (фракція СПУ),2002-05-15,2005-03-03
Бартків Василь Павлович,"Фракція ""Наша Україна""",2002-05-15,2002-12-10
Бартків Василь Павлович,"Група ""Центр""",2004-04-22,2005-03-18
Бартків Василь Павлович,Фракція Української Народної Партії,2005-04-05,2006-05-25
Бастрига Іван Михайлович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Бастрига Іван Михайлович,"Фракція ""Регіони України""",2002-06-20,2005-03-17
Бастрига Іван Михайлович,"Група ""Воля народу""",2005-03-17,2005-03-25
Бастрига Іван Михайлович,"Фракція ""Партії промисловців і підприємців України""",2005-03-25,2006-05-25
Бауер Михайло Йозефович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Бауер Михайло Йозефович,"Фракція політичних партій Промисловців і підприємців України та ""Трудова Україна""",2002-06-20,2004-04-21
Бауер Михайло Йозефович,"Фракція політичної партії ""Трудова Україна""",2004-04-21,2004-12-14
Бауер Михайло Йозефович,"Група ""Демократична Україна""",2005-01-20,2005-09-08
Бауер Михайло Йозефович,"Фракція політичної партії ""Вперед, Україно!""",2005-09-08,2005-11-04
Бауер Михайло Йозефович,Група Народного блоку Литвина,2005-11-04,2006-05-25
Бахтеєва Тетяна Дмитрівна,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Бахтеєва Тетяна Дмитрівна,"Фракція ""Регіони України""",2002-06-20,2005-09-08
Бахтеєва Тетяна Дмитрівна,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-09-08,2006-05-25
Безсмертний Роман Петрович,"Фракція ""Наша Україна""",2002-05-15,2005-03-03
Беспалий Борис Якович,"Фракція ""Наша Україна""",2002-05-15,2005-09-07
Беспалий Борис Якович,"Фракція політичної партії ""Народний Союз Наша Україна""",2005-09-07,2006-05-25
Беспалов Олег Павлович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Беспалов Олег Павлович,"Група ""Народовладдя""",2002-06-20,2002-11-19
Беспалов Олег Павлович,"Фракція ""Регіони України""",2003-05-22,2005-01-14
Беспалов Олег Павлович,"Фракція партії ""Єдина Україна""",2005-11-04,2006-01-11
Бичков Сергій Анатолійович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Бичков Сергій Анатолійович,"Фракція політичних партій Промисловців і підприємців України та ""Трудова Україна""",2002-06-20,2004-04-20
Бичков Сергій Анатолійович,"Група ""Центр""",2004-04-22,2005-03-18
Бичков Сергій Анатолійович,"Фракція ""Наша Україна""",2005-03-18,2005-09-07
Бичков Сергій Анатолійович,"Фракція політичної партії ""Народний Союз Наша Україна""",2005-09-07,2006-05-25
Біловол Олександр Миколайович,"Фракція ""Єдина Україна""",2002-05-15,2002-07-22
Біловол Олександр Миколайович,Фракція Соціал-демократичної партії України (об'єднаної) (фракція СДПУ(О)),2002-10-15,2003-02-06
Біловол Олександр Миколайович,Фракція Народної Партії,2005-12-22,2006-05-25
Білозір Оксана Володимирівна,"Фракція ""Наша Україна""",2002-05-15,2005-03-03
Білорус Олег Григорович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2002-05-15,2005-12-16
Білорус Олег Григорович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Бірюк Лев Васильович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-03-17,2005-12-16
Бірюк Лев Васильович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Блохін Олег Володимирович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2002-10-08
Блохін Олег Володимирович,Фракція Соціал-демократичної партії України (об'єднаної) (фракція СДПУ(О)),2002-10-08,2006-05-25
Богатирьова Раїса Василівна,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Богатирьова Раїса Василівна,"Фракція ""Регіони України""",2002-06-20,2005-09-08
Богатирьова Раїса Василівна,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-09-08,2006-05-25
Бойко Віктор Олексійович,"Фракція ""Єдина Україна""",2002-05-15,2002-07-05
Бойко Віктор Олексійович,"Група ""Народний вибір""",2002-07-05,2004-04-22
Бойко Віктор Олексійович,"Група ""Центр""",2004-04-22,2004-06-15
Бойко Віктор Олексійович,Фракція Народної аграрної партії України,2004-06-15,2005-03-01
Бойко Віктор Олексійович,Фракція Народної Партії,2005-03-01,2006-05-25
Бойко Володимир Семенович,"Фракція ""Єдина Україна""",2002-05-15,2002-07-22
Бойко Володимир Семенович,"Група ""Європейський вибір""",2002-10-15,2003-11-20
Бойко Володимир Семенович,"Фракція ""Регіони України""",2003-11-20,2005-09-08
Бойко Володимир Семенович,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-09-08,2005-09-21
Бойко Володимир Семенович,Фракція Соціалістичної партії України (фракція СПУ),2005-12-23,2006-05-25
Бойко Юрій Анатолійович,"Фракція ""Наша Україна""",2002-05-15,2005-09-07
Бойко Юрій Анатолійович,"Фракція політичної партії ""Народний Союз Наша Україна""",2005-09-07,2005-09-08
Бойко Юрій Анатолійович,"Фракція політичної партії ""Реформи і порядок""",2005-09-08,2006-05-25
Бокий Іван Сидорович,Фракція Соціалістичної партії України (фракція СПУ),2002-05-15,2006-05-25
Бондар Володимир Налькович,"Фракція ""Наша Україна""",2002-05-15,2005-06-15
Бондаренко Володимир Дмитрович,"Фракція ""Наша Україна""",2002-05-15,2005-09-07
Бондаренко Володимир Дмитрович,"Фракція політичної партії ""Народний Союз Наша Україна""",2005-09-07,2005-09-08
Бондаренко Володимир Дмитрович,"Фракція політичної партії ""Реформи і порядок""",2005-09-08,2006-05-25
Бондаренко Григорій Іванович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Бондаренко Григорій Іванович,"Група ""Європейський вибір""",2002-06-20,2003-11-20
Бондаренко Григорій Іванович,"Фракція ""Регіони України""",2003-11-20,2005-01-13
Бондаренко Григорій Іванович,"Група ""Демократична Україна""",2005-01-20,2005-09-08
Бондаренко Григорій Іванович,"Фракція політичної партії ""Вперед, Україно!""",2005-09-08,2005-11-04
Бондаренко Григорій Іванович,Група Народного блоку Литвина,2005-11-04,2006-05-25
Бондаренко Олена Федорівна,"Фракція ""Наша Україна""",2005-02-01,2005-09-07
Бондаренко Олена Федорівна,"Фракція політичної партії ""Народний Союз Наша Україна""",2005-09-07,2005-10-04
Бондаренко Олена Федорівна,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-10-04,2005-12-16
Бондаренко Олена Федорівна,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Бондарчук Олександр Васильович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Бондарчук Сергій Васильович,"Фракція ""Наша Україна""",2002-05-15,2002-05-29
Бондарчук Сергій Васильович,"Група ""Європейський вибір""",2002-06-20,2002-12-27
Бондарчук Сергій Васильович,"Група ""Центр""",2004-04-22,2005-03-18
Бондарчук Сергій Васильович,Фракція Народної Партії,2005-03-25,2005-09-08
Борзих Олександр Іванович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Борзих Олександр Іванович,"Фракція ""Аграрники України"" (Аграрники)",2002-06-20,2002-10-22
Борзих Олександр Іванович,Фракція  Аграрної партії України,2002-10-22,2004-06-15
Борзих Олександр Іванович,Фракція Народної аграрної партії України,2004-06-15,2005-03-01
Борзих Олександр Іванович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-03-04,2005-12-16
Борзих Олександр Іванович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Борзов Валерій Пилипович,Фракція Соціал-демократичної партії України (об'єднаної) (фракція СДПУ(О)),2003-05-20,2006-05-25
Борщевський Віктор Валентинович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Бронніков Володимир Костянтинович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Бронніков Володимир Костянтинович,"Фракція ""Регіони України""",2002-06-20,2005-09-08
Бронніков Володимир Костянтинович,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-09-08,2006-05-25
Бубка Сергій Назарович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Бубка Сергій Назарович,"Фракція ""Регіони України""",2002-06-20,2005-06-16
Будаг'янц Микола Абрамович,"Фракція ""Єдина Україна""",2002-05-15,2002-07-05
Будаг'янц Микола Абрамович,"Група ""Народний вибір""",2002-07-05,2004-05-21
Будаг'янц Микола Абрамович,"Група  ""Союз""",2004-05-21,2005-05-31
Будаг'янц Микола Абрамович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-05-31,2005-09-23
Будаг'янц Микола Абрамович,"Група ""Довіра народу""",2005-10-21,2005-12-21
Будаг'янц Микола Абрамович,"Група ""Відродження""",2005-12-21,2005-12-23
Будаг'янц Микола Абрамович,"Фракція політичної партії ""ВІДРОДЖЕННЯ""",2005-12-23,2006-05-25
Буждиган Пилип Пилипович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Буйко Георгій Володимирович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Бульба Степан Степанович,Фракція Соціалістичної партії України (фракція СПУ),2002-05-15,2005-05-19
Буряк Олександр Васильович,"Фракція ""Наша Україна""",2002-05-15,2002-05-29
Буряк Олександр Васильович,"Фракція ""Єдина Україна""",2002-05-30,2002-06-20
Буряк Олександр Васильович,"Фракція політичних партій Промисловців і підприємців України та ""Трудова Україна""",2002-06-20,2004-04-21
Буряк Олександр Васильович,"Фракція політичної партії ""Трудова Україна""",2004-04-21,2004-12-03
Буряк Олександр Васильович,Група Промисловців і підприємців - Воля народу,2005-01-21,2005-02-03
Буряк Олександр Васильович,"Група ""Воля народу""",2005-02-03,2005-03-25
Буряк Олександр Васильович,"Фракція ""Партії промисловців і підприємців України""",2005-03-25,2005-12-14
Буряк Олександр Васильович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-14,2005-12-16
Буряк Олександр Васильович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Буряк Сергій Васильович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Буряк Сергій Васильович,"Фракція політичних партій Промисловців і підприємців України та ""Трудова Україна""",2002-06-20,2004-04-21
Буряк Сергій Васильович,"Фракція політичної партії ""Трудова Україна""",2004-04-21,2004-12-03
Буряк Сергій Васильович,Група Промисловців і підприємців - Воля народу,2005-01-21,2005-02-03
Буряк Сергій Васильович,"Група ""Воля народу""",2005-02-03,2005-03-25
Буряк Сергій Васильович,"Фракція ""Партії промисловців і підприємців України""",2005-03-25,2005-12-14
Буряк Сергій Васильович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-14,2005-12-16
Буряк Сергій Васильович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Буца Богдан Еманоїлович,"Фракція ""Наша Україна""",2005-07-08,2005-09-07
Буца Богдан Еманоїлович,"Фракція політичної партії ""Народний Союз Наша Україна""",2005-09-07,2005-10-06
Васадзе Таріел Шакрович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Васадзе Таріел Шакрович,"Фракція політичних партій Промисловців і підприємців України та ""Трудова Україна""",2002-06-20,2004-04-21
Васадзе Таріел Шакрович,"Фракція політичної партії ""Трудова Україна""",2004-04-21,2004-12-03
Васадзе Таріел Шакрович,Група Промисловців і підприємців - Воля народу,2005-01-21,2005-02-03
Васадзе Таріел Шакрович,"Група ""Воля народу""",2005-02-03,2005-03-25
Васадзе Таріел Шакрович,"Фракція ""Партії промисловців і підприємців України""",2005-03-25,2005-12-14
Васадзе Таріел Шакрович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-14,2005-12-16
Васадзе Таріел Шакрович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Васильєв Геннадій Андрійович,"Фракція ""Єдина Україна""",2002-05-15,2002-05-28
Васильєв Олександр Андрійович,"Фракція ""Регіони України""",2004-03-23,2005-09-08
Васильєв Олександр Андрійович,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-09-08,2006-05-25
Васюник Іван Васильович,"Фракція ""Наша Україна""",2002-05-15,2005-05-19
Ващук Катерина Тимофіївна,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Ващук Катерина Тимофіївна,"Фракція ""Аграрники України"" (Аграрники)",2002-06-20,2002-10-22
Ващук Катерина Тимофіївна,Фракція  Аграрної партії України,2002-10-22,2004-06-15
Ващук Катерина Тимофіївна,Фракція Народної аграрної партії України,2004-06-15,2005-03-01
Ващук Катерина Тимофіївна,Фракція Народної Партії,2005-03-01,2006-05-25
Веревський Андрій Михайлович,"Фракція ""Єдина Україна""",2002-05-15,2002-07-05
Веревський Андрій Михайлович,"Група ""Європейський вибір""",2002-07-05,2003-11-20
Веревський Андрій Михайлович,"Фракція ""Регіони України""",2003-11-20,2004-12-04
Веревський Андрій Михайлович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-06-23,2005-12-16
Веревський Андрій Михайлович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Веретенников Віктор Олександрович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Веретенников Віктор Олександрович,"Фракція політичних партій Промисловців і підприємців України та ""Трудова Україна""",2002-06-20,2004-04-21
Веретенников Віктор Олександрович,Група Промисловців і підприємців - Воля народу,2005-01-21,2005-02-03
Веретенников Віктор Олександрович,"Група ""Воля народу""",2005-02-03,2005-03-25
Веретенников Віктор Олександрович,"Фракція ""Партії промисловців і підприємців України""",2005-03-25,2006-05-25
Вернигора Леонід Михайлович,Фракція Соціалістичної партії України (фракція СПУ),2002-05-15,2006-05-25
Вернидубов Іван Васильович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Вернидубов Іван Васильович,"Група ""Європейський вибір""",2002-06-20,2003-11-20
Вернидубов Іван Васильович,"Фракція ""Регіони України""",2003-11-20,2005-09-08
Вернидубов Іван Васильович,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-09-08,2006-05-25
Вінський Йосип Вікентійович,Фракція Соціалістичної партії України (фракція СПУ),2002-05-15,2006-05-25
Волинець Михайло Якович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2002-05-15,2005-12-16
Волинець Михайло Якович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"", Українська  соціал- демократична партія) (фракція Блоку Юлії Тимошенко)",2005-12-16,2006-05-25
Волков Олександр Михайлович,"Фракція ""Єдина Україна""",2002-05-15,2002-07-22
Волков Олександр Михайлович,Фракція Соціал-демократичної партії України (об'єднаної) (фракція СДПУ(О)),2002-10-15,2003-01-16
Воюш Володимир Дмитрович,Фракція Соціал-демократичної партії України (об'єднаної) (фракція СДПУ(О)),2002-05-15,2006-05-25
Гаврилюк Василь Васильович,"Фракція ""Єдина Україна""",2002-05-15,2002-06-20
Гаврилюк Василь Васильович,"Група ""Народовладдя""",2002-06-20,2004-03-25
Гаврилюк Василь Васильович,"Група ""Центр""",2004-04-22,2005-03-18
Гаврилюк Василь Васильович,"Група ""Довіра народу""",2005-10-21,2005-12-21
Гаврилюк Василь Васильович,"Група ""Відродження""",2005-12-21,2005-12-23
Гаврилюк Василь Васильович,"Фракція політичної партії ""ВІДРОДЖЕННЯ""",2005-12-23,2006-05-25
Гаврилюк Іван Ярославович,"Фракція ""Наша Україна""",2002-05-15,2005-09-07
Гаврилюк Іван Ярославович,"Фракція політичної партії ""Народний Союз Наша Україна""",2005-09-07,2005-09-08
Гаврилюк Іван Ярославович,"Фракція політичної партії ""Реформи і порядок""",2005-09-08,2006-05-25
Гавриш Степан Богданович,"Група ""Демократичні ініціативи""",2002-06-20,2004-05-14
Гавриш Степан Богданович,"Група  ""Демократичні ініціативи Народовладдя""",2004-05-14,2004-09-23
Гавриш Степан Богданович,"Група ""Демократичні ініціативи""",2004-09-23,2005-09-07
Гавриш Степан Богданович,Фракція Соціал-демократичної партії України (об'єднаної) (фракція СДПУ(О)),2005-12-15,2006-05-25
Гадяцький Леонід Миколайович,Фракція Соціалістичної партії України (фракція СПУ),2002-05-15,2002-05-21
Гадяцький Леонід Миколайович,"Фракція ""Єдина Україна""",2002-05-21,2002-06-20
Гадяцький Леонід Миколайович,"Фракція політичних партій Промисловців і підприємців України та ""Трудова Україна""",2002-06-20,2004-04-21
Гадяцький Леонід Миколайович,"Фракція політичної партії ""Трудова Україна""",2004-04-21,2004-12-04
Гадяцький Леонід Миколайович,Фракція Соціалістичної партії України (фракція СПУ),2005-03-02,2006-05-25
Гайдош Іштван Ференцович,Фракція Соціал-демократичної партії України (об'єднаної) (фракція СДПУ(О)),2002-05-15,2005-01-20
Гайдош Іштван Ференцович,Фракція Соціалістичної партії України (фракція СПУ),2005-01-21,2006-05-25
Галієв Ернест Едуардович,"Фракція ""Наша Україна""",2002-05-15,2002-05-29
Галієв Ернест Едуардович,"Фракція ""Єдина Україна""",2002-05-30,2002-06-20
Галієв Ернест Едуардович,"Група ""Демократичні ініціативи""",2002-06-20,2004-05-14
Галієв Ернест Едуардович,"Група  ""Демократичні ініціативи Народовладдя""",2004-05-14,2004-09-23
Галієв Ернест Едуардович,"Група ""Демократичні ініціативи""",2004-09-23,2005-07-05
Галієв Ернест Едуардович,Фракція Народної Партії,2005-07-05,2006-05-25
Гапочка Микола Михайлович,"Фракція ""Єдина Україна""",2002-05-15,2002-07-05
Гапочка Микола Михайлович,"Група ""Народний вибір""",2002-07-05,2004-05-21
Гапочка Микола Михайлович,"Група  ""Союз""",2004-05-21,2005-05-31
Гапочка Микола Михайлович,"Фракція Блоку Юлії Тимошенко (політичних партій  ""Всеукраїнське об""єднання ""Батьківщина"",  Українська республіканська партія ""Собор"",  Українська  соціал-демократична партія) (фракція Блоку Юлії Тимошенко)",2005-05-31,2005-11-04
Гапочка Микола Михайлович,"Фракція Партії регіонів у Верховній Раді України ""Регіони України""",2005-12-02,2006-05-25
Гармаш Галина Федорівна,Фракція Соціалістичної партії України (фракція СПУ),2002-05-15,2006-05-25
Герасимов Іван Олександрович,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Гінзбург Ольга Петрівна,Фракція Комуністичної партії України (фракція комуністів),2002-05-15,2006-05-25
Гірник Євген Олексійович,"Фракція ""Наша Україна""",2002-05-15,2005-09-07
Гірник Євген Олексійович,"Фракція політичної партії ""Народний Союз Наша Україна""",2005-09-07,2005-09-08
Гірник Євген Олексійович,"Фракція політичної партії ""Реформи і порядок""",2005-09-08,2006-05-25
